The SAS System,,,,,,,,,,,
,,,,,,,,,,,
IPO_Firm_Name,IPODate,PERMNO,Names Date,Returns,Value-Weighted,Return on the S&P,,,,,
,,,,,Return-incl. dividends,500 Index,Holding Period,Month,1+Daily Return,1+Vwretd,1+SPrtrn
Construction Partners Inc,5/4/2018,17801,5/4/2018,C,0.01231,0.012811,,,,1.01231,1.012811
Construction Partners Inc,5/4/2018,17801,5/7/2018,-0.004132,0.004133,0.003458,,,0.995868,1.004133,1.003458
Construction Partners Inc,5/4/2018,17801,5/8/2018,0,0.000408,-0.000266,,,1,1.000408,0.999734
Construction Partners Inc,5/4/2018,17801,5/9/2018,-0.00249,0.008619,0.009682,,,0.99751,1.008619,1.009682
Construction Partners Inc,5/4/2018,17801,5/10/2018,-0.001664,0.008633,0.009371,,,0.998336,1.008633,1.009371
Construction Partners Inc,5/4/2018,17801,5/11/2018,0.0025,0.001549,0.001708,,,1.0025,1.001549,1.001708
Construction Partners Inc,5/4/2018,17801,5/14/2018,0.009144,0.000777,0.000884,,,1.009144,1.000777,1.000884
Construction Partners Inc,5/4/2018,17801,5/15/2018,0.001647,-0.005765,-0.006842,,,1.001647,0.994235,0.993158
Construction Partners Inc,5/4/2018,17801,5/16/2018,-0.009868,0.004817,0.004061,,,0.990132,1.004817,1.004061
Construction Partners Inc,5/4/2018,17801,5/17/2018,0.005814,0.000297,-0.000856,,,1.005814,1.000297,0.999144
Construction Partners Inc,5/4/2018,17801,5/18/2018,0.022296,-0.002233,-0.002632,,,1.022296,0.997767,0.997368
Construction Partners Inc,5/4/2018,17801,5/21/2018,0.000808,0.006994,0.007387,,,1.000808,1.006994,1.007387
Construction Partners Inc,5/4/2018,17801,5/22/2018,-0.011299,-0.003456,-0.003136,,,0.988701,0.996544,0.996864
Construction Partners Inc,5/4/2018,17801,5/23/2018,-0.000816,0.002288,0.003248,,,0.999184,1.002288,1.003248
Construction Partners Inc,5/4/2018,17801,5/24/2018,-0.003268,-0.00183,-0.002023,,,0.996732,0.99817,0.997977
Construction Partners Inc,5/4/2018,17801,5/25/2018,0.004918,-0.002212,-0.002357,,,1.004918,0.997788,0.997643
Construction Partners Inc,5/4/2018,17801,5/29/2018,-0.01876,-0.009967,-0.011564,,,0.98124,0.990033,0.988436
Construction Partners Inc,5/4/2018,17801,5/30/2018,0.007481,0.013118,0.012696,,,1.007481,1.013118,1.012696
Construction Partners Inc,5/4/2018,17801,5/31/2018,0.002475,-0.006496,-0.00688,,,1.002475,0.993504,0.99312
Construction Partners Inc,5/4/2018,17801,6/1/2018,0.044444,0.009657,0.010849,,,1.044444,1.009657,1.010849
Construction Partners Inc,5/4/2018,17801,6/4/2018,-0.01576,0.004532,0.00448,,,0.98424,1.004532,1.00448
Construction Partners Inc,5/4/2018,17801,6/5/2018,-0.016013,0.001475,0.000703,0.019917569,1,0.983987,1.001475,1.000703
Construction Partners Inc,5/4/2018,17801,6/6/2018,0,0.007997,0.008567,,,1,1.007997,1.008567
Construction Partners Inc,5/4/2018,17801,6/7/2018,-0.01546,-0.001119,-0.000714,,,0.98454,0.998881,0.999286
Construction Partners Inc,5/4/2018,17801,6/8/2018,0.003306,0.002989,0.003126,,,1.003306,1.002989,1.003126
Construction Partners Inc,5/4/2018,17801,6/11/2018,0.051895,0.001522,0.001069,,,1.051895,1.001522,1.001069
Construction Partners Inc,5/4/2018,17801,6/12/2018,-0.005482,0.001946,0.001743,,,0.994518,1.001946,1.001743
Construction Partners Inc,5/4/2018,17801,6/13/2018,0.076378,-0.003615,-0.004026,,,1.076378,0.996385,0.995974
Construction Partners Inc,5/4/2018,17801,6/14/2018,0.020483,0.002642,0.002472,,,1.020483,1.002642,1.002472
Construction Partners Inc,5/4/2018,17801,6/15/2018,-0.048745,-0.001638,-0.001017,,,0.951255,0.998362,0.998983
Construction Partners Inc,5/4/2018,17801,6/18/2018,0.045215,-0.000751,-0.002126,,,1.045215,0.999249,0.997874
Construction Partners Inc,5/4/2018,17801,6/19/2018,-0.002163,-0.004084,-0.004023,,,0.997837,0.995916,0.995977
Construction Partners Inc,5/4/2018,17801,6/20/2018,-0.041908,0.002739,0.001712,,,0.958092,1.002739,1.001712
Construction Partners Inc,5/4/2018,17801,6/21/2018,0.013575,-0.006904,-0.006345,,,1.013575,0.993096,0.993655
Construction Partners Inc,5/4/2018,17801,6/22/2018,0.005208,0.002284,0.001862,,,1.005208,1.002284,1.001862
Construction Partners Inc,5/4/2018,17801,6/25/2018,-0.035529,-0.014428,-0.013725,,,0.964471,0.985572,0.986275
Construction Partners Inc,5/4/2018,17801,6/26/2018,-0.002302,0.002923,0.002205,,,0.997698,1.002923,1.002205
Construction Partners Inc,5/4/2018,17801,6/27/2018,-0.015385,-0.009759,-0.008604,,,0.984615,0.990241,0.991396
Construction Partners Inc,5/4/2018,17801,6/28/2018,0.01875,0.005637,0.006179,,,1.01875,1.005637,1.006179
Construction Partners Inc,5/4/2018,17801,6/29/2018,0.009969,0.001586,0.000758,,,1.009969,1.001586,1.000758
Construction Partners Inc,5/4/2018,17801,7/2/2018,-0.012149,0.002187,0.003068,,,0.987851,1.002187,1.003068
Construction Partners Inc,5/4/2018,17801,7/3/2018,0.003075,-0.002896,-0.004947,,,1.003075,0.997104,0.995053
Construction Partners Inc,5/4/2018,17801,7/5/2018,-0.029119,0.008482,0.008621,0.030919778,2,0.970881,1.008482,1.008621
Construction Partners Inc,5/4/2018,17801,7/6/2018,0.004736,0.008396,0.008481,,,1.004736,1.008396,1.008481
Construction Partners Inc,5/4/2018,17801,7/9/2018,-0.000785,0.00841,0.008823,,,0.999215,1.00841,1.008823
Construction Partners Inc,5/4/2018,17801,7/10/2018,0.005503,0.002296,0.003473,,,1.005503,1.002296,1.003473
Construction Partners Inc,5/4/2018,17801,7/11/2018,-0.022674,-0.007414,-0.007094,,,0.977326,0.992586,0.992906
Construction Partners Inc,5/4/2018,17801,7/12/2018,0.0088,0.008248,0.008749,,,1.0088,1.008248,1.008749
Construction Partners Inc,5/4/2018,17801,7/13/2018,-0.015067,0.000712,0.001079,,,0.984933,1.000712,1.001079
Construction Partners Inc,5/4/2018,17801,7/16/2018,0.016908,-0.00183,-0.001028,,,1.016908,0.99817,0.998972
Construction Partners Inc,5/4/2018,17801,7/17/2018,-0.008709,0.003887,0.003974,,,0.991291,1.003887,1.003974
Construction Partners Inc,5/4/2018,17801,7/18/2018,-0.011182,0.002474,0.00216,,,0.988818,1.002474,1.00216
Construction Partners Inc,5/4/2018,17801,7/19/2018,0.005654,-0.002469,-0.003953,,,1.005654,0.997531,0.996047
Construction Partners Inc,5/4/2018,17801,7/20/2018,-0.005622,-0.001023,-0.000948,,,0.994378,0.998977,0.999052
Construction Partners Inc,5/4/2018,17801,7/23/2018,-0.006462,0.001028,0.001838,,,0.993538,1.001028,1.001838
Construction Partners Inc,5/4/2018,17801,7/24/2018,0.006504,0.001978,0.004781,,,1.006504,1.001978,1.004781
Construction Partners Inc,5/4/2018,17801,7/25/2018,0.029079,0.008272,0.009102,,,1.029079,1.008272,1.009102
Construction Partners Inc,5/4/2018,17801,7/26/2018,-0.024333,-0.001559,-0.003032,,,0.975667,0.998441,0.996968
Construction Partners Inc,5/4/2018,17801,7/27/2018,0.004827,-0.007646,-0.006562,,,1.004827,0.992354,0.993438
Construction Partners Inc,5/4/2018,17801,7/30/2018,-0.013611,-0.00558,-0.005754,,,0.986389,0.99442,0.994246
Construction Partners Inc,5/4/2018,17801,7/31/2018,-0.006494,0.005536,0.004885,,,0.993506,1.005536,1.004885
Construction Partners Inc,5/4/2018,17801,8/1/2018,-0.003268,-0.001296,-0.00104,,,0.996732,0.998704,0.99896
Construction Partners Inc,5/4/2018,17801,8/2/2018,-0.042623,0.005511,0.004926,,,0.957377,1.005511,1.004926
Construction Partners Inc,5/4/2018,17801,8/3/2018,-0.018836,0.003274,0.004644,-0.099764489,3,0.981164,1.003274,1.004644
Construction Partners Inc,5/4/2018,17801,8/6/2018,,0.003857,0.003538,,,1,1.003857,1.003538
Construction Partners Inc,5/4/2018,17801,8/7/2018,-0.008787,0.002255,0.002824,,,0.991213,1.002255,1.002824
Construction Partners Inc,5/4/2018,17801,8/8/2018,-0.023936,-0.00027,-0.000262,,,0.976064,0.99973,0.999738
Construction Partners Inc,5/4/2018,17801,8/9/2018,0.031789,-0.000291,-0.001442,,,1.031789,0.999709,0.998558
Construction Partners Inc,5/4/2018,17801,8/10/2018,-0.022007,-0.006335,-0.007114,,,0.977993,0.993665,0.992886
Construction Partners Inc,5/4/2018,17801,8/13/2018,0.070207,-0.004685,-0.004006,,,1.070207,0.995315,0.995994
Construction Partners Inc,5/4/2018,17801,8/14/2018,0.000841,0.006617,0.006389,,,1.000841,1.006617,1.006389
Construction Partners Inc,5/4/2018,17801,8/15/2018,0,-0.00908,-0.007602,,,1,0.99092,0.992398
Construction Partners Inc,5/4/2018,17801,8/16/2018,0.013445,0.008016,0.007919,,,1.013445,1.008016,1.007919
Construction Partners Inc,5/4/2018,17801,8/17/2018,-0.001658,0.003866,0.003323,,,0.998342,1.003866,1.003323
Construction Partners Inc,5/4/2018,17801,8/20/2018,-0.006645,0.002833,0.002428,,,0.993355,1.002833,1.002428
Construction Partners Inc,5/4/2018,17801,8/21/2018,0.005017,0.003128,0.002069,,,1.005017,1.003128,1.002069
Construction Partners Inc,5/4/2018,17801,8/22/2018,-0.007488,0.00073,-0.000398,,,0.992512,1.00073,0.999602
Construction Partners Inc,5/4/2018,17801,8/23/2018,0.005868,-0.002437,-0.001691,,,1.005868,0.997563,0.998309
Construction Partners Inc,5/4/2018,17801,8/24/2018,-0.0025,0.006245,0.006199,,,0.9975,1.006245,1.006199
Construction Partners Inc,5/4/2018,17801,8/27/2018,0.007519,0.007157,0.00767,,,1.007519,1.007157,1.00767
Construction Partners Inc,5/4/2018,17801,8/28/2018,-0.007463,0.000006,0.000269,,,0.992537,1.000006,1.000269
Construction Partners Inc,5/4/2018,17801,8/29/2018,0.001671,0.005183,0.005701,,,1.001671,1.005183,1.005701
Construction Partners Inc,5/4/2018,17801,8/30/2018,0.000834,-0.004428,-0.00443,,,1.000834,0.995572,0.99557
Construction Partners Inc,5/4/2018,17801,8/31/2018,0.0125,0.000301,0.000134,,,1.0125,1.000301,1.000134
Construction Partners Inc,5/4/2018,17801,9/4/2018,0.004938,-0.002248,-0.001654,0.072934675,4,1.004938,0.997752,0.998346
Construction Partners Inc,5/4/2018,17801,9/5/2018,0.011466,-0.003502,-0.002803,,,1.011466,0.996498,0.997197
Construction Partners Inc,5/4/2018,17801,9/6/2018,-0.004858,-0.003967,-0.003652,,,0.995142,0.996033,0.996348
Construction Partners Inc,5/4/2018,17801,9/7/2018,0.017901,-0.002371,-0.002213,,,1.017901,0.997629,0.997787
Construction Partners Inc,5/4/2018,17801,9/10/2018,-0.008793,0.002274,0.001898,,,0.991207,1.002274,1.001898
Construction Partners Inc,5/4/2018,17801,9/11/2018,-0.007258,0.00323,0.00374,,,0.992742,1.00323,1.00374
Construction Partners Inc,5/4/2018,17801,9/12/2018,0.006499,0.000829,0.000357,,,1.006499,1.000829,1.000357
Construction Partners Inc,5/4/2018,17801,9/13/2018,-0.012914,0.004324,0.005282,,,0.987086,1.004324,1.005282
Construction Partners Inc,5/4/2018,17801,9/14/2018,-0.001635,0.000904,0.000275,,,0.998365,1.000904,1.000275
Construction Partners Inc,5/4/2018,17801,9/17/2018,0.004914,-0.005975,-0.00557,,,1.004914,0.994025,0.99443
Construction Partners Inc,5/4/2018,17801,9/18/2018,-0.005705,0.005494,0.005369,,,0.994295,1.005494,1.005369
Construction Partners Inc,5/4/2018,17801,9/19/2018,0,0.000524,0.001253,,,1,1.000524,1.001253
Construction Partners Inc,5/4/2018,17801,9/20/2018,0.018033,0.00785,0.007841,,,1.018033,1.00785,1.007841
Construction Partners Inc,5/4/2018,17801,9/21/2018,0.016908,-0.001043,-0.000369,,,1.016908,0.998957,0.999631
Construction Partners Inc,5/4/2018,17801,9/24/2018,-0.025336,-0.003703,-0.003516,,,0.974664,0.996297,0.996484
Construction Partners Inc,5/4/2018,17801,9/25/2018,-0.017872,-0.000509,-0.001305,,,0.982128,0.999491,0.998695
Construction Partners Inc,5/4/2018,17801,9/26/2018,0.00579,-0.004024,-0.003289,,,1.00579,0.995976,0.996711
Construction Partners Inc,5/4/2018,17801,9/27/2018,-0.000822,0.002401,0.002763,,,0.999178,1.002401,1.002763
Construction Partners Inc,5/4/2018,17801,9/28/2018,-0.004115,0.00009,-0.000007,,,0.995885,1.00009,0.999993
Construction Partners Inc,5/4/2018,17801,10/1/2018,-0.023967,0.001786,0.003641,,,0.976033,1.001786,1.003641
Construction Partners Inc,5/4/2018,17801,10/2/2018,-0.023709,-0.002262,-0.000397,,,0.976291,0.997738,0.999603
Construction Partners Inc,5/4/2018,17801,10/3/2018,-0.010408,0.001625,0.000711,-0.076112563,5,0.989592,1.001625,1.000711
Construction Partners Inc,5/4/2018,17801,10/4/2018,0.022787,-0.00931,-0.00817,,,1.022787,0.99069,0.99183
Construction Partners Inc,5/4/2018,17801,10/5/2018,0.003428,-0.006058,-0.005528,,,1.003428,0.993942,0.994472
Construction Partners Inc,5/4/2018,17801,10/8/2018,-0.027327,-0.001348,-0.000395,,,0.972673,0.998652,0.999605
Construction Partners Inc,5/4/2018,17801,10/9/2018,-0.015803,-0.001788,-0.001418,,,0.984197,0.998212,0.998582
Construction Partners Inc,5/4/2018,17801,10/10/2018,-0.011597,-0.031351,-0.032864,,,0.988403,0.968649,0.967136
Construction Partners Inc,5/4/2018,17801,10/11/2018,-0.024368,-0.018802,-0.020573,,,0.975632,0.981198,0.979427
Construction Partners Inc,5/4/2018,17801,10/12/2018,-0.024052,0.012278,0.014206,,,0.975948,1.012278,1.014206
Construction Partners Inc,5/4/2018,17801,10/15/2018,0.012322,-0.003655,-0.005905,,,1.012322,0.996345,0.994095
Construction Partners Inc,5/4/2018,17801,10/16/2018,0.072097,0.02147,0.021496,,,1.072097,1.02147,1.021496
