The SAS System,,,,,,,,,,,
,,,,,,,,,,,
IPO_Firm_Name,IPODate,PERMNO,Names Date,Returns,Value-Weighted,Return on the S&P,,,,,
,,,,,Return-incl. dividends,500 Index,Holding Period,Month,1+Daily Returns,1+Vwretd,1+SPrtrn
Evo Payments INC,5/23/2018,17790,5/23/2018,C,0.002288,0.003248,,,,1.002288,1.003248
Evo Payments INC,5/23/2018,17790,5/24/2018,0.025237,-0.00183,-0.002023,,,1.025237,0.99817,0.997977
Evo Payments INC,5/23/2018,17790,5/25/2018,0.019487,-0.002212,-0.002357,,,1.019487,0.997788,0.997643
Evo Payments INC,5/23/2018,17790,5/29/2018,-0.001006,-0.009967,-0.011564,,,0.998994,0.990033,0.988436
Evo Payments INC,5/23/2018,17790,5/30/2018,0.03575,0.013118,0.012696,,,1.03575,1.013118,1.012696
Evo Payments INC,5/23/2018,17790,5/31/2018,0.044239,-0.006496,-0.00688,,,1.044239,0.993504,0.99312
Evo Payments INC,5/23/2018,17790,6/1/2018,0.020484,0.009657,0.010849,,,1.020484,1.009657,1.010849
Evo Payments INC,5/23/2018,17790,6/4/2018,-0.029653,0.004532,0.00448,,,0.970347,1.004532,1.00448
Evo Payments INC,5/23/2018,17790,6/5/2018,-0.012694,0.001475,0.000703,,,0.987306,1.001475,1.000703
Evo Payments INC,5/23/2018,17790,6/6/2018,-0.001429,0.007997,0.008567,,,0.998571,1.007997,1.008567
Evo Payments INC,5/23/2018,17790,6/7/2018,-0.007153,-0.001119,-0.000714,,,0.992847,0.998881,0.999286
Evo Payments INC,5/23/2018,17790,6/8/2018,-0.01633,0.002989,0.003126,,,0.98367,1.002989,1.003126
Evo Payments INC,5/23/2018,17790,6/11/2018,-0.01416,0.001522,0.001069,,,0.98584,1.001522,1.001069
Evo Payments INC,5/23/2018,17790,6/12/2018,-0.009411,0.001946,0.001743,,,0.990589,1.001946,1.001743
Evo Payments INC,5/23/2018,17790,6/13/2018,0.0575,-0.003615,-0.004026,,,1.0575,0.996385,0.995974
Evo Payments INC,5/23/2018,17790,6/14/2018,0.041135,0.002642,0.002472,,,1.041135,1.002642,1.002472
Evo Payments INC,5/23/2018,17790,6/15/2018,0.044505,-0.001638,-0.001017,,,1.044505,0.998362,0.998983
Evo Payments INC,5/23/2018,17790,6/18/2018,-0.034783,-0.000751,-0.002126,,,0.965217,0.999249,0.997874
Evo Payments INC,5/23/2018,17790,6/19/2018,0.022523,-0.004084,-0.004023,,,1.022523,0.995916,0.995977
Evo Payments INC,5/23/2018,17790,6/20/2018,-0.022026,0.002739,0.001712,,,0.977974,1.002739,1.001712
Evo Payments INC,5/23/2018,17790,6/21/2018,-0.042342,-0.006904,-0.006345,,,0.957658,0.993096,0.993655
Evo Payments INC,5/23/2018,17790,6/22/2018,-0.007055,0.002284,0.001862,0.082565154,1,0.992945,1.002284,1.001862
