The SAS System,,,,,,,,,,,
,,,,,,,,,,,
IPO_Firm_Name,IPODate,PERMNO,Names Date,Returns,Value-Weighted,Return on the S&P,,,,,
,,,,,Return-incl. dividends,500 Index,Holding Period,Month,1+Daily Returns,1+Vwretd,1+SPrtrn
GreenSky Inc,5/24/2018,17795,5/24/2018,C,-0.00183,-0.002023,,,,0.99817,0.997977
GreenSky Inc,5/24/2018,17795,5/25/2018,0.06036,-0.002212,-0.002357,,,1.06036,0.997788,0.997643
GreenSky Inc,5/24/2018,17795,5/29/2018,0.007267,-0.009967,-0.011564,,,1.007267,0.990033,0.988436
GreenSky Inc,5/24/2018,17795,5/30/2018,0.031262,0.013118,0.012696,,,1.031262,1.013118,1.012696
GreenSky Inc,5/24/2018,17795,5/31/2018,0.04042,-0.006496,-0.00688,,,1.04042,0.993504,0.99312
GreenSky Inc,5/24/2018,17795,6/1/2018,-0.004109,0.009657,0.010849,,,0.995891,1.009657,1.010849
GreenSky Inc,5/24/2018,17795,6/4/2018,-0.049512,0.004532,0.00448,,,0.950488,1.004532,1.00448
GreenSky Inc,5/24/2018,17795,6/5/2018,0.007893,0.001475,0.000703,,,1.007893,1.001475,1.000703
GreenSky Inc,5/24/2018,17795,6/6/2018,-0.040329,0.007997,0.008567,,,0.959671,1.007997,1.008567
GreenSky Inc,5/24/2018,17795,6/7/2018,-0.063647,-0.001119,-0.000714,,,0.936353,0.998881,0.999286
GreenSky Inc,5/24/2018,17795,6/8/2018,0.036601,0.002989,0.003126,,,1.036601,1.002989,1.003126
GreenSky Inc,5/24/2018,17795,6/11/2018,0.01177,0.001522,0.001069,,,1.01177,1.001522,1.001069
GreenSky Inc,5/24/2018,17795,6/12/2018,0.007894,0.001946,0.001743,,,1.007894,1.001946,1.001743
GreenSky Inc,5/24/2018,17795,6/13/2018,-0.005359,-0.003615,-0.004026,,,0.994641,0.996385,0.995974
GreenSky Inc,5/24/2018,17795,6/14/2018,0.013676,0.002642,0.002472,,,1.013676,1.002642,1.002472
GreenSky Inc,5/24/2018,17795,6/15/2018,-0.008994,-0.001638,-0.001017,,,0.991006,0.998362,0.998983
GreenSky Inc,5/24/2018,17795,6/18/2018,0.007838,-0.000751,-0.002126,,,1.007838,0.999249,0.997874
