The SAS System,,,,,,,,,,,
,,,,,,,,,,,
IPO_Firm_Name,IPODate,PERMNO,Names Date,Returns,Value-Weighted,Return on the S&P,,,,,
,,,,,Return-incl. dividends,500 Index,Holding Returns,Month,1+  Daily Return,1+Vwretd,1+SPrtrn
Inspire Medical Systems Inc,5/3/2018,17799,5/3/2018,C,-0.002259,-0.002254,,,,0.997741,0.997746
Inspire Medical Systems Inc,5/3/2018,17799,5/4/2018,-0.020416,0.01231,0.012811,,,0.979584,1.01231,1.012811
Inspire Medical Systems Inc,5/3/2018,17799,5/7/2018,-0.017164,0.004133,0.003458,,0,0.982836,1.004133,1.003458
Inspire Medical Systems Inc,5/3/2018,17799,5/8/2018,0.003742,0.000408,-0.000266,,,1.003742,1.000408,0.999734
Inspire Medical Systems Inc,5/3/2018,17799,5/9/2018,-0.003728,0.008619,0.009682,,,0.996272,1.008619,1.009682
Inspire Medical Systems Inc,5/3/2018,17799,5/10/2018,0.060707,0.008633,0.009371,,,1.060707,1.008633,1.009371
Inspire Medical Systems Inc,5/3/2018,17799,5/11/2018,0.048216,0.001549,0.001708,,,1.048216,1.001549,1.001708
Inspire Medical Systems Inc,5/3/2018,17799,5/14/2018,0.099476,0.000777,0.000884,,,1.099476,1.000777,1.000884
Inspire Medical Systems Inc,5/3/2018,17799,5/15/2018,0.091837,-0.005765,-0.006842,,,1.091837,0.994235,0.993158
Inspire Medical Systems Inc,5/3/2018,17799,5/16/2018,0.004361,0.004817,0.004061,,,1.004361,1.004817,1.004061
Inspire Medical Systems Inc,5/3/2018,17799,5/17/2018,0.03536,0.000297,-0.000856,,,1.03536,1.000297,0.999144
Inspire Medical Systems Inc,5/3/2018,17799,5/18/2018,0.004793,-0.002233,-0.002632,,,1.004793,0.997767,0.997368
Inspire Medical Systems Inc,5/3/2018,17799,5/21/2018,-0.002683,0.006994,0.007387,,,0.997317,1.006994,1.007387
Inspire Medical Systems Inc,5/3/2018,17799,5/22/2018,-0.018236,-0.003456,-0.003136,,,0.981764,0.996544,0.996864
Inspire Medical Systems Inc,5/3/2018,17799,5/23/2018,-0.019488,0.002288,0.003248,,,0.980512,1.002288,1.003248
Inspire Medical Systems Inc,5/3/2018,17799,5/24/2018,0.015528,-0.00183,-0.002023,,,1.015528,0.99817,0.997977
Inspire Medical Systems Inc,5/3/2018,17799,5/25/2018,-0.063914,-0.002212,-0.002357,,,0.936086,0.997788,0.997643
Inspire Medical Systems Inc,5/3/2018,17799,5/29/2018,-0.079713,-0.009967,-0.011564,,,0.920287,0.990033,0.988436
Inspire Medical Systems Inc,5/3/2018,17799,5/30/2018,0.056088,0.013118,0.012696,,,1.056088,1.013118,1.012696
Inspire Medical Systems Inc,5/3/2018,17799,5/31/2018,0.008403,-0.006496,-0.00688,,,1.008403,0.993504,0.99312
Inspire Medical Systems Inc,5/3/2018,17799,6/1/2018,0.028,0.009657,0.010849,,,1.028,1.009657,1.010849
Inspire Medical Systems Inc,5/3/2018,17799,6/4/2018,-0.039235,0.004532,0.00448,0.210869624,1,0.960765,1.004532,1.00448
Inspire Medical Systems Inc,5/3/2018,17799,6/5/2018,0.042862,0.001475,0.000703,,,1.042862,1.001475,1.000703
Inspire Medical Systems Inc,5/3/2018,17799,6/6/2018,-0.000971,0.007997,0.008567,,,0.999029,1.007997,1.008567
Inspire Medical Systems Inc,5/3/2018,17799,6/7/2018,0.068027,-0.001119,-0.000714,,,1.068027,0.998881,0.999286
Inspire Medical Systems Inc,5/3/2018,17799,6/8/2018,0.030027,0.002989,0.003126,,,1.030027,1.002989,1.003126
Inspire Medical Systems Inc,5/3/2018,17799,6/11/2018,0.035041,0.001522,0.001069,,,1.035041,1.001522,1.001069
Inspire Medical Systems Inc,5/3/2018,17799,6/12/2018,-0.065149,0.001946,0.001743,,,0.934851,1.001946,1.001743
Inspire Medical Systems Inc,5/3/2018,17799,6/13/2018,0.052039,-0.003615,-0.004026,,,1.052039,0.996385,0.995974
Inspire Medical Systems Inc,5/3/2018,17799,6/14/2018,0.020249,0.002642,0.002472,,,1.020249,1.002642,1.002472
Inspire Medical Systems Inc,5/3/2018,17799,6/15/2018,0.03374,-0.001638,-0.001017,,,1.03374,0.998362,0.998983
Inspire Medical Systems Inc,5/3/2018,17799,6/18/2018,-0.035107,-0.000751,-0.002126,,,0.964893,0.999249,0.997874
Inspire Medical Systems Inc,5/3/2018,17799,6/19/2018,0.070495,-0.004084,-0.004023,,,1.070495,0.995916,0.995977
Inspire Medical Systems Inc,5/3/2018,17799,6/20/2018,0.034254,0.002739,0.001712,,,1.034254,1.002739,1.001712
Inspire Medical Systems Inc,5/3/2018,17799,6/21/2018,0.004365,-0.006904,-0.006345,,,1.004365,0.993096,0.993655
Inspire Medical Systems Inc,5/3/2018,17799,6/22/2018,0.009714,0.002284,0.001862,,,1.009714,1.002284,1.001862
Inspire Medical Systems Inc,5/3/2018,17799,6/25/2018,-0.01924,-0.014428,-0.013725,,,0.98076,0.985572,0.986275
Inspire Medical Systems Inc,5/3/2018,17799,6/26/2018,-0.01239,0.002923,0.002205,,,0.98761,1.002923,1.002205
Inspire Medical Systems Inc,5/3/2018,17799,6/27/2018,-0.050706,-0.009759,-0.008604,,,0.949294,0.990241,0.991396
Inspire Medical Systems Inc,5/3/2018,17799,6/28/2018,-0.00413,0.005637,0.006179,,,0.99587,1.005637,1.006179
Inspire Medical Systems Inc,5/3/2018,17799,6/29/2018,-0.0141,0.001586,0.000758,,,0.9859,1.001586,1.000758
Inspire Medical Systems Inc,5/3/2018,17799,7/2/2018,0.060292,0.002187,0.003068,,,1.060292,1.002187,1.003068
Inspire Medical Systems Inc,5/3/2018,17799,7/3/2018,-0.026713,-0.002896,-0.004947,0.1909405,2,0.973287,0.997104,0.995053
Inspire Medical Systems Inc,5/3/2018,17799,7/5/2018,0.046739,0.008482,0.008621,,,1.046739,1.008482,1.008621
Inspire Medical Systems Inc,5/3/2018,17799,7/6/2018,-0.034008,0.008396,0.008481,,,0.965992,1.008396,1.008481
Inspire Medical Systems Inc,5/3/2018,17799,7/9/2018,-0.003762,0.00841,0.008823,,,0.996238,1.00841,1.008823
Inspire Medical Systems Inc,5/3/2018,17799,7/10/2018,0.217427,0.002296,0.003473,,,1.217427,1.002296,1.003473
Inspire Medical Systems Inc,5/3/2018,17799,7/11/2018,-0.035232,-0.007414,-0.007094,,,0.964768,0.992586,0.992906
Inspire Medical Systems Inc,5/3/2018,17799,7/12/2018,-0.012402,0.008248,0.008749,,,0.987598,1.008248,1.008749
Inspire Medical Systems Inc,5/3/2018,17799,7/13/2018,-0.024884,0.000712,0.001079,,,0.975116,1.000712,1.001079
Inspire Medical Systems Inc,5/3/2018,17799,7/16/2018,0.025996,-0.00183,-0.001028,,,1.025996,0.99817,0.998972
Inspire Medical Systems Inc,5/3/2018,17799,7/17/2018,0.022083,0.003887,0.003974,,,1.022083,1.003887,1.003974
Inspire Medical Systems Inc,5/3/2018,17799,7/18/2018,-0.019559,0.002474,0.00216,,,0.980441,1.002474,1.00216
Inspire Medical Systems Inc,5/3/2018,17799,7/19/2018,0.02598,-0.002469,-0.003953,,,1.02598,0.997531,0.996047
Inspire Medical Systems Inc,5/3/2018,17799,7/20/2018,-0.045444,-0.001023,-0.000948,,,0.954556,0.998977,0.999052
Inspire Medical Systems Inc,5/3/2018,17799,7/23/2018,-0.006395,0.001028,0.001838,,,0.993605,1.001028,1.001838
Inspire Medical Systems Inc,5/3/2018,17799,7/24/2018,-0.015018,0.001978,0.004781,,,0.984982,1.001978,1.004781
Inspire Medical Systems Inc,5/3/2018,17799,7/25/2018,0.045741,0.008272,0.009102,,,1.045741,1.008272,1.009102
Inspire Medical Systems Inc,5/3/2018,17799,7/26/2018,0.031937,-0.001559,-0.003032,,,1.031937,0.998441,0.996968
Inspire Medical Systems Inc,5/3/2018,17799,7/27/2018,-0.076026,-0.007646,-0.006562,,,0.923974,0.992354,0.993438
Inspire Medical Systems Inc,5/3/2018,17799,7/30/2018,0.037136,-0.00558,-0.005754,,,1.037136,0.99442,0.994246
Inspire Medical Systems Inc,5/3/2018,17799,7/31/2018,0.048444,0.005536,0.004885,,,1.048444,1.005536,1.004885
Inspire Medical Systems Inc,5/3/2018,17799,8/1/2018,0.014509,-0.001296,-0.00104,,,1.014509,0.998704,0.99896
Inspire Medical Systems Inc,5/3/2018,17799,8/2/2018,0.011881,0.005511,0.004926,0.1939,3,1.011881,1.005511,1.004926
Inspire Medical Systems Inc,5/3/2018,17799,8/3/2018,0.01022,0.003274,0.004644,,,1.01022,1.003274,1.004644
Inspire Medical Systems Inc,5/3/2018,17799,8/6/2018,-0.001507,0.003857,0.003538,,,0.998493,1.003857,1.003538
Inspire Medical Systems Inc,5/3/2018,17799,8/7/2018,0.000216,0.002255,0.002824,,,1.000216,1.002255,1.002824
Inspire Medical Systems Inc,5/3/2018,17799,8/8/2018,-0.018534,-0.00027,-0.000262,,,0.981466,0.99973,0.999738
Inspire Medical Systems Inc,5/3/2018,17799,8/9/2018,0.027229,-0.000291,-0.001442,,,1.027229,0.999709,0.998558
Inspire Medical Systems Inc,5/3/2018,17799,8/10/2018,-0.009619,-0.006335,-0.007114,,,0.990381,0.993665,0.992886
Inspire Medical Systems Inc,5/3/2018,17799,8/13/2018,0.037341,-0.004685,-0.004006,,,1.037341,0.995315,0.995994
Inspire Medical Systems Inc,5/3/2018,17799,8/14/2018,0.001873,0.006617,0.006389,,,1.001873,1.006617,1.006389
Inspire Medical Systems Inc,5/3/2018,17799,8/15/2018,0.03053,-0.00908,-0.007602,,,1.03053,0.99092,0.992398
Inspire Medical Systems Inc,5/3/2018,17799,8/16/2018,0.088472,0.008016,0.007919,,,1.088472,1.008016,1.007919
Inspire Medical Systems Inc,5/3/2018,17799,8/17/2018,-0.034623,0.003866,0.003323,,,0.965377,1.003866,1.003323
Inspire Medical Systems Inc,5/3/2018,17799,8/20/2018,-0.045071,0.002833,0.002428,,,0.954929,1.002833,1.002428
Inspire Medical Systems Inc,5/3/2018,17799,8/21/2018,0.031733,0.003128,0.002069,,,1.031733,1.003128,1.002069
Inspire Medical Systems Inc,5/3/2018,17799,8/22/2018,0.032509,0.00073,-0.000398,,,1.032509,1.00073,0.999602
Inspire Medical Systems Inc,5/3/2018,17799,8/23/2018,-0.000943,-0.002437,-0.001691,,,0.999057,0.997563,0.998309
Inspire Medical Systems Inc,5/3/2018,17799,8/24/2018,-0.000566,0.006245,0.006199,,,0.999434,1.006245,1.006199
Inspire Medical Systems Inc,5/3/2018,17799,8/27/2018,0.01756,0.007157,0.00767,,,1.01756,1.007157,1.00767
Inspire Medical Systems Inc,5/3/2018,17799,8/28/2018,-0.000371,0.000006,0.000269,,,0.999629,1.000006,1.000269
Inspire Medical Systems Inc,5/3/2018,17799,8/29/2018,0.006868,0.005183,0.005701,,,1.006868,1.005183,1.005701
Inspire Medical Systems Inc,5/3/2018,17799,8/30/2018,-0.004609,-0.004428,-0.00443,,,0.995391,0.995572,0.99557
Inspire Medical Systems Inc,5/3/2018,17799,8/31/2018,0.018522,0.000301,0.000134,0.18,4,1.018522,1.000301,1.000134
Inspire Medical Systems Inc,5/3/2018,17799,9/4/2018,0.03637,-0.002248,-0.001654,,,1.03637,0.997752,0.998346
Inspire Medical Systems Inc,5/3/2018,17799,9/5/2018,-0.031935,-0.003502,-0.002803,,,0.968065,0.996498,0.997197
Inspire Medical Systems Inc,5/3/2018,17799,9/6/2018,-0.028276,-0.003967,-0.003652,,,0.971724,0.996033,0.996348
Inspire Medical Systems Inc,5/3/2018,17799,9/7/2018,0.013617,-0.002371,-0.002213,,,1.013617,0.997629,0.997787
Inspire Medical Systems Inc,5/3/2018,17799,9/10/2018,-0.017114,0.002274,0.001898,,,0.982886,1.002274,1.001898
Inspire Medical Systems Inc,5/3/2018,17799,9/11/2018,-0.001311,0.00323,0.00374,,,0.998689,1.00323,1.00374
Inspire Medical Systems Inc,5/3/2018,17799,9/12/2018,-0.03937,0.000829,0.000357,,,0.96063,1.000829,1.000357
Inspire Medical Systems Inc,5/3/2018,17799,9/13/2018,0.057962,0.004324,0.005282,,,1.057962,1.004324,1.005282
Inspire Medical Systems Inc,5/3/2018,17799,9/14/2018,-0.056816,0.000904,0.000275,,,0.943184,1.000904,1.000275
Inspire Medical Systems Inc,5/3/2018,17799,9/17/2018,-0.056914,-0.005975,-0.00557,,,0.943086,0.994025,0.99443
Inspire Medical Systems Inc,5/3/2018,17799,9/18/2018,-0.020738,0.005494,0.005369,,,0.979262,1.005494,1.005369
Inspire Medical Systems Inc,5/3/2018,17799,9/19/2018,-0.064168,0.000524,0.001253,,,0.935832,1.000524,1.001253
Inspire Medical Systems Inc,5/3/2018,17799,9/20/2018,0.02014,0.00785,0.007841,,,1.02014,1.00785,1.007841
Inspire Medical Systems Inc,5/3/2018,17799,9/21/2018,-0.012866,-0.001043,-0.000369,,,0.987134,0.998957,0.999631
Inspire Medical Systems Inc,5/3/2018,17799,9/24/2018,-0.01236,-0.003703,-0.003516,,,0.98764,0.996297,0.996484
Inspire Medical Systems Inc,5/3/2018,17799,9/25/2018,-0.027759,-0.000509,-0.001305,,,0.972241,0.999491,0.998695
Inspire Medical Systems Inc,5/3/2018,17799,9/26/2018,0.009127,-0.004024,-0.003289,,,1.009127,0.995976,0.996711
Inspire Medical Systems Inc,5/3/2018,17799,9/27/2018,-0.005566,0.002401,0.002763,,,0.994434,1.002401,1.002763
Inspire Medical Systems Inc,5/3/2018,17799,9/28/2018,-0.018657,0.00009,-0.000007,,,0.981343,1.00009,0.999993
Inspire Medical Systems Inc,5/3/2018,17799,10/1/2018,0.007367,0.001786,0.003641,,,1.007367,1.001786,1.003641
Inspire Medical Systems Inc,5/3/2018,17799,10/2/2018,-0.048125,-0.002262,-0.000397,-0.291982113,5,0.951875,0.997738,0.999603
Inspire Medical Systems Inc,5/3/2018,17799,10/3/2018,0.013879,0.001625,0.000711,,,1.013879,1.001625,1.000711
Inspire Medical Systems Inc,5/3/2018,17799,10/4/2018,-0.045221,-0.00931,-0.00817,,,0.954779,0.99069,0.99183
Inspire Medical Systems Inc,5/3/2018,17799,10/5/2018,0.028674,-0.006058,-0.005528,,,1.028674,0.993942,0.994472
Inspire Medical Systems Inc,5/3/2018,17799,10/8/2018,0.013937,-0.001348,-0.000395,,,1.013937,0.998652,0.999605
Inspire Medical Systems Inc,5/3/2018,17799,10/9/2018,0.009327,-0.001788,-0.001418,,,1.009327,0.998212,0.998582
Inspire Medical Systems Inc,5/3/2018,17799,10/10/2018,-0.012646,-0.031351,-0.032864,,,0.987354,0.968649,0.967136
Inspire Medical Systems Inc,5/3/2018,17799,10/11/2018,0.026847,-0.018802,-0.020573,,,1.026847,0.981198,0.979427
Inspire Medical Systems Inc,5/3/2018,17799,10/12/2018,-0.022308,0.012278,0.014206,,,0.977692,1.012278,1.014206
Inspire Medical Systems Inc,5/3/2018,17799,10/15/2018,0.016438,-0.003655,-0.005905,,,1.016438,0.996345,0.994095
Inspire Medical Systems Inc,5/3/2018,17799,10/16/2018,0.046585,0.02147,0.021496,,,1.046585,1.02147,1.021496
Inspire Medical Systems Inc,5/3/2018,17799,10/17/2018,0.03298,-0.001386,-0.000253,,,1.03298,0.998614,0.999747
Inspire Medical Systems Inc,5/3/2018,17799,10/18/2018,-0.027238,-0.014622,-0.014392,,,0.972762,0.985378,0.985608
Inspire Medical Systems Inc,5/3/2018,17799,10/19/2018,-0.068855,-0.001816,-0.000361,,,0.931145,0.998184,0.999639
Inspire Medical Systems Inc,5/3/2018,17799,10/22/2018,0.015529,-0.003901,-0.004299,,,1.015529,0.996099,0.995701
Inspire Medical Systems Inc,5/3/2018,17799,10/23/2018,0.009951,-0.005977,-0.005512,,,1.009951,0.994023,0.994488
Inspire Medical Systems Inc,5/3/2018,17799,10/24/2018,-0.092526,-0.030628,-0.030864,,,0.907474,0.969372,0.969136
Inspire Medical Systems Inc,5/3/2018,17799,10/25/2018,0.06303,0.017448,0.018625,,,1.06303,1.017448,1.018625
Inspire Medical Systems Inc,5/3/2018,17799,10/26/2018,-0.003488,-0.015512,-0.017327,,,0.996512,0.984488,0.982673
Inspire Medical Systems Inc,5/3/2018,17799,10/29/2018,-0.06625,-0.006987,-0.00656,,,0.93375,0.993013,0.99344
Inspire Medical Systems Inc,5/3/2018,17799,10/30/2018,0.046854,0.015604,0.015667,,,1.046854,1.015604,1.015667
Inspire Medical Systems Inc,5/3/2018,17799,10/31/2018,0.025064,0.010455,0.010851,-0.020288988,6,1.025064,1.010455,1.010851
Inspire Medical Systems Inc,5/3/2018,17799,11/1/2018,0.10005,0.013011,0.010558,,,1.10005,1.013011,1.010558
Inspire Medical Systems Inc,5/3/2018,17799,11/2/2018,0.034929,-0.004779,-0.006317,,,1.034929,0.995221,0.993683
Inspire Medical Systems Inc,5/3/2018,17799,11/5/2018,-0.001096,0.004439,0.0056,,,0.998904,1.004439,1.0056
Inspire Medical Systems Inc,5/3/2018,17799,11/6/2018,0.012067,0.005704,0.006259,,,1.012067,1.005704,1.006259
Inspire Medical Systems Inc,5/3/2018,17799,11/7/2018,0.139822,0.019256,0.021209,,,1.139822,1.019256,1.021209
Inspire Medical Systems Inc,5/3/2018,17799,11/8/2018,-0.004374,-0.002936,-0.002509,,,0.995626,0.997064,0.997491
Inspire Medical Systems Inc,5/3/2018,17799,11/9/2018,-0.113849,-0.009721,-0.009199,,,0.886151,0.990279,0.990801
Inspire Medical Systems Inc,5/3/2018,17799,11/12/2018,-0.025437,-0.018878,-0.019701,,,0.974563,0.981122,0.980299
Inspire Medical Systems Inc,5/3/2018,17799,11/13/2018,0.021898,-0.001188,-0.001482,,,1.021898,0.998812,0.998518
Inspire Medical Systems Inc,5/3/2018,17799,11/14/2018,0.038961,-0.006557,-0.007567,,,1.038961,0.993443,0.992433
Inspire Medical Systems Inc,5/3/2018,17799,11/15/2018,-0.020417,0.010788,0.010594,,,0.979583,1.010788,1.010594
